day_key,start_time,hour,day,week,month,year,weekdate
2018110100,2018-11-01 00:00:00,0,1,44,11,2018,3
2018110101,2018-11-01 01:00:00,1,1,44,11,2018,3
2018110102,2018-11-01 02:00:00,2,1,44,11,2018,3
2018110103,2018-11-01 03:00:00,3,1,44,11,2018,3
2018110104,2018-11-01 04:00:00,4,1,44,11,2018,3
2018110105,2018-11-01 05:00:00,5,1,44,11,2018,3
2018110106,2018-11-01 06:00:00,6,1,44,11,2018,3
2018110107,2018-11-01 07:00:00,7,1,44,11,2018,3
2018110108,2018-11-01 08:00:00,8,1,44,11,2018,3
2018110109,2018-11-01 09:00:00,9,1,44,11,2018,3
2018110110,2018-11-01 10:00:00,10,1,44,11,2018,3
2018110111,2018-11-01 11:00:00,11,1,44,11,2018,3
2018110112,2018-11-01 12:00:00,12,1,44,11,2018,3
2018110113,2018-11-01 13:00:00,13,1,44,11,2018,3
2018110114,2018-11-01 14:00:00,14,1,44,11,2018,3
2018110115,2018-11-01 15:00:00,15,1,44,11,2018,3
2018110116,2018-11-01 16:00:00,16,1,44,11,2018,3
2018110117,2018-11-01 17:00:00,17,1,44,11,2018,3
2018110118,2018-11-01 18:00:00,18,1,44,11,2018,3
2018110119,2018-11-01 19:00:00,19,1,44,11,2018,3
2018110120,2018-11-01 20:00:00,20,1,44,11,2018,3
2018110121,2018-11-01 21:00:00,21,1,44,11,2018,3
2018110122,2018-11-01 22:00:00,22,1,44,11,2018,3
2018110123,2018-11-01 23:00:00,23,1,44,11,2018,3
2018110200,2018-11-02 00:00:00,0,2,44,11,2018,4
2018110201,2018-11-02 01:00:00,1,2,44,11,2018,4
2018110202,2018-11-02 02:00:00,2,2,44,11,2018,4
2018110203,2018-11-02 03:00:00,3,2,44,11,2018,4
2018110204,2018-11-02 04:00:00,4,2,44,11,2018,4
2018110205,2018-11-02 05:00:00,5,2,44,11,2018,4
2018110206,2018-11-02 06:00:00,6,2,44,11,2018,4
2018110207,2018-11-02 07:00:00,7,2,44,11,2018,4
2018110208,2018-11-02 08:00:00,8,2,44,11,2018,4
2018110209,2018-11-02 09:00:00,9,2,44,11,2018,4
2018110210,2018-11-02 10:00:00,10,2,44,11,2018,4
2018110211,2018-11-02 11:00:00,11,2,44,11,2018,4
2018110212,2018-11-02 12:00:00,12,2,44,11,2018,4
2018110213,2018-11-02 13:00:00,13,2,44,11,2018,4
2018110214,2018-11-02 14:00:00,14,2,44,11,2018,4
2018110215,2018-11-02 15:00:00,15,2,44,11,2018,4
2018110216,2018-11-02 16:00:00,16,2,44,11,2018,4
2018110217,2018-11-02 17:00:00,17,2,44,11,2018,4
2018110218,2018-11-02 18:00:00,18,2,44,11,2018,4
2018110219,2018-11-02 19:00:00,19,2,44,11,2018,4
2018110220,2018-11-02 20:00:00,20,2,44,11,2018,4
2018110221,2018-11-02 21:00:00,21,2,44,11,2018,4
2018110222,2018-11-02 22:00:00,22,2,44,11,2018,4
2018110223,2018-11-02 23:00:00,23,2,44,11,2018,4
2018110300,2018-11-03 00:00:00,0,3,44,11,2018,5
2018110301,2018-11-03 01:00:00,1,3,44,11,2018,5
2018110302,2018-11-03 02:00:00,2,3,44,11,2018,5
2018110303,2018-11-03 03:00:00,3,3,44,11,2018,5
2018110304,2018-11-03 04:00:00,4,3,44,11,2018,5
2018110305,2018-11-03 05:00:00,5,3,44,11,2018,5
2018110306,2018-11-03 06:00:00,6,3,44,11,2018,5
2018110307,2018-11-03 07:00:00,7,3,44,11,2018,5
2018110308,2018-11-03 08:00:00,8,3,44,11,2018,5
2018110309,2018-11-03 09:00:00,9,3,44,11,2018,5
2018110310,2018-11-03 10:00:00,10,3,44,11,2018,5
2018110311,2018-11-03 11:00:00,11,3,44,11,2018,5
2018110312,2018-11-03 12:00:00,12,3,44,11,2018,5
2018110313,2018-11-03 13:00:00,13,3,44,11,2018,5
2018110314,2018-11-03 14:00:00,14,3,44,11,2018,5
2018110315,2018-11-03 15:00:00,15,3,44,11,2018,5
2018110316,2018-11-03 16:00:00,16,3,44,11,2018,5
2018110317,2018-11-03 17:00:00,17,3,44,11,2018,5
2018110318,2018-11-03 18:00:00,18,3,44,11,2018,5
2018110319,2018-11-03 19:00:00,19,3,44,11,2018,5
2018110320,2018-11-03 20:00:00,20,3,44,11,2018,5
2018110321,2018-11-03 21:00:00,21,3,44,11,2018,5
2018110322,2018-11-03 22:00:00,22,3,44,11,2018,5
2018110323,2018-11-03 23:00:00,23,3,44,11,2018,5
2018110400,2018-11-04 00:00:00,0,4,44,11,2018,6
2018110401,2018-11-04 01:00:00,1,4,44,11,2018,6
2018110402,2018-11-04 02:00:00,2,4,44,11,2018,6
2018110403,2018-11-04 03:00:00,3,4,44,11,2018,6
2018110404,2018-11-04 04:00:00,4,4,44,11,2018,6
2018110405,2018-11-04 05:00:00,5,4,44,11,2018,6
2018110406,2018-11-04 06:00:00,6,4,44,11,2018,6
2018110407,2018-11-04 07:00:00,7,4,44,11,2018,6
2018110408,2018-11-04 08:00:00,8,4,44,11,2018,6
2018110409,2018-11-04 09:00:00,9,4,44,11,2018,6
2018110410,2018-11-04 10:00:00,10,4,44,11,2018,6
2018110411,2018-11-04 11:00:00,11,4,44,11,2018,6
2018110412,2018-11-04 12:00:00,12,4,44,11,2018,6
2018110413,2018-11-04 13:00:00,13,4,44,11,2018,6
2018110414,2018-11-04 14:00:00,14,4,44,11,2018,6
2018110415,2018-11-04 15:00:00,15,4,44,11,2018,6
2018110416,2018-11-04 16:00:00,16,4,44,11,2018,6
2018110417,2018-11-04 17:00:00,17,4,44,11,2018,6
2018110418,2018-11-04 18:00:00,18,4,44,11,2018,6
2018110419,2018-11-04 19:00:00,19,4,44,11,2018,6
2018110420,2018-11-04 20:00:00,20,4,44,11,2018,6
2018110421,2018-11-04 21:00:00,21,4,44,11,2018,6
2018110422,2018-11-04 22:00:00,22,4,44,11,2018,6
2018110423,2018-11-04 23:00:00,23,4,44,11,2018,6
2018110500,2018-11-05 00:00:00,0,5,45,11,2018,0
2018110501,2018-11-05 01:00:00,1,5,45,11,2018,0
2018110502,2018-11-05 02:00:00,2,5,45,11,2018,0
2018110503,2018-11-05 03:00:00,3,5,45,11,2018,0
2018110504,2018-11-05 04:00:00,4,5,45,11,2018,0
2018110505,2018-11-05 05:00:00,5,5,45,11,2018,0
2018110506,2018-11-05 06:00:00,6,5,45,11,2018,0
2018110507,2018-11-05 07:00:00,7,5,45,11,2018,0
2018110508,2018-11-05 08:00:00,8,5,45,11,2018,0
2018110509,2018-11-05 09:00:00,9,5,45,11,2018,0
2018110510,2018-11-05 10:00:00,10,5,45,11,2018,0
2018110511,2018-11-05 11:00:00,11,5,45,11,2018,0
2018110512,2018-11-05 12:00:00,12,5,45,11,2018,0
2018110513,2018-11-05 13:00:00,13,5,45,11,2018,0
2018110514,2018-11-05 14:00:00,14,5,45,11,2018,0
2018110515,2018-11-05 15:00:00,15,5,45,11,2018,0
2018110516,2018-11-05 16:00:00,16,5,45,11,2018,0
2018110517,2018-11-05 17:00:00,17,5,45,11,2018,0
2018110518,2018-11-05 18:00:00,18,5,45,11,2018,0
2018110519,2018-11-05 19:00:00,19,5,45,11,2018,0
2018110520,2018-11-05 20:00:00,20,5,45,11,2018,0
2018110521,2018-11-05 21:00:00,21,5,45,11,2018,0
2018110522,2018-11-05 22:00:00,22,5,45,11,2018,0
2018110523,2018-11-05 23:00:00,23,5,45,11,2018,0
2018110600,2018-11-06 00:00:00,0,6,45,11,2018,1
2018110601,2018-11-06 01:00:00,1,6,45,11,2018,1
2018110602,2018-11-06 02:00:00,2,6,45,11,2018,1
2018110603,2018-11-06 03:00:00,3,6,45,11,2018,1
2018110604,2018-11-06 04:00:00,4,6,45,11,2018,1
2018110605,2018-11-06 05:00:00,5,6,45,11,2018,1
2018110606,2018-11-06 06:00:00,6,6,45,11,2018,1
2018110607,2018-11-06 07:00:00,7,6,45,11,2018,1
2018110608,2018-11-06 08:00:00,8,6,45,11,2018,1
2018110609,2018-11-06 09:00:00,9,6,45,11,2018,1
2018110610,2018-11-06 10:00:00,10,6,45,11,2018,1
2018110611,2018-11-06 11:00:00,11,6,45,11,2018,1
2018110612,2018-11-06 12:00:00,12,6,45,11,2018,1
2018110613,2018-11-06 13:00:00,13,6,45,11,2018,1
